COGNITION,GROUP 1,GROUP 2,GROUP 3
MMSE,0.030055,-0.066522,-0.072644
CVLTCA,0.036062,-0.136841,-0.050517
CVLFRL,0.005144,-0.058758,0.010037
BVR,0.032738,0.1127,0.047734
ATTEN,0.020718,0.049165,-0.023687
FW,0.008905,-0.023813,-0.00369
DSF,-0.067071,-0.096393,-0.103071
DSB,-0.037326,0.029587,0.010421
CDT,-0.013281,-0.119107,-0.016624
TATS,-0.022764,0.065691,0.092897
TBTS,0.015989,23529.5,0.001321
CR,-0.368912,-0.209769,-0.164327
IDP,-0.093334,-0.040183,-0.010458
